,r2
226,"[0.03976700613952566, 0.039054285569336544, 0.03827070514015407, 0.03628080106112297, 0.03917379694427836]"
227,"[0.03656554755234842, 0.03659637702078389, 0.041055288444004856, 0.041916205512220084, 0.03633977002387612]"
228,"[0.03760025389332977, 0.0396832041156453, 0.038973247706535985, 0.03694955130019795, 0.03923650633385045]"
229,"[0.04311991856735975, 0.038598022679192434, 0.03454530536957412, 0.038297735036499914, 0.03769001925099391]"
230,"[0.03755300534340367, 0.038514627699391846, 0.03903140630326929, 0.042974537653295286, 0.034207022957356226]"
231,"[0.03841961880759015, 0.03572922442237392, 0.03963890485413901, 0.04100270817231544, 0.03780823933570976]"
232,"[0.03984788949665019, 0.03932138420323805, 0.03211761196861984, 0.04190883267325163, 0.039152382240475014]"
233,"[0.03942347423135695, 0.037558035110582866, 0.0392977046052303, 0.04068165866404161, 0.03562741511252887]"
234,"[0.03529209264438693, 0.038719771746739684, 0.040368592777698664, 0.037129355448200396, 0.04087565748510147]"
235,"[0.03772029550525924, 0.0388605447746152, 0.036067865909312435, 0.04038876860854268, 0.039455799170187156]"
236,"[0.03922243631110489, 0.03793118316660826, 0.03643378634676997, 0.04030980607263113, 0.03848970702142085]"
237,"[0.03798186387430169, 0.043957626290552, 0.037803195081586916, 0.035370488005728506, 0.03727474945248466]"
238,"[0.03666549241089878, 0.0379971647237195, 0.03989195803681411, 0.03645384872258883, 0.04143974382850746]"
239,"[0.03836193054625836, 0.038612846359752706, 0.03943362087976776, 0.03851134925944477, 0.037438138555687006]"
240,"[0.03724111861643109, 0.03884669667833529, 0.03573670667502393, 0.03915800100330147, 0.04141303708100852]"
241,"[0.03992123046948126, 0.03836927179770211, 0.0351741944169881, 0.03934979289962548, 0.039590063109226636]"
242,"[0.04077076606206731, 0.03672604859207418, 0.03834747923192916, 0.0365336483162535, 0.04014405801781118]"
243,"[0.0378723605705229, 0.03596941627766348, 0.03822717679119492, 0.04240846318246094, 0.037863169949274966]"
244,"[0.03818925882302371, 0.03681483888348225, 0.03863873191895195, 0.03831091539709708, 0.04057622954251028]"
245,"[0.033368122215470586, 0.0408498176544968, 0.03888586581137943, 0.03835543929932694, 0.040723266058916296]"
246,"[0.03972074917801838, 0.03986519570059688, 0.03319081129461021, 0.04217878860159319, 0.037326055932143665]"
247,"[0.033740216455092176, 0.04189311434411169, 0.03602547288164759, 0.04090581164021545, 0.03974864668662881]"
248,"[0.04041746388205969, 0.038467994147786344, 0.04072005540312862, 0.03813459039380385, 0.03483210502178391]"
249,"[0.037974361937542445, 0.03802669765015909, 0.03773920502657335, 0.037285268207536304, 0.041447086190277926]"
250,"[0.041169075110047304, 0.03824229796363543, 0.03743785809858058, 0.03578901829018799, 0.03972693104317748]"
251,"[0.039885706179785596, 0.04038487423726267, 0.03824690253115837, 0.038415421947409434, 0.03526357776672384]"
252,"[0.040721123909952084, 0.03826084389817275, 0.039222817943436517, 0.0373415911944901, 0.03689353008391871]"
253,"[0.035944165465771394, 0.04039769745019206, 0.03752475991996951, 0.038316973015473654, 0.04032706267133135]"
