,roc_auc
234,"[0.6911691382493015, 0.6990587455651062, 0.6960657986045041, 0.697833039265355, 0.7066599822928111]"
235,"[0.6984148360148195, 0.7004932640724919, 0.6919830025212514, 0.6992352480163735, 0.69992788444035]"
236,"[0.6928578947438983, 0.6986186370420896, 0.7017518195348793, 0.697358933211057, 0.7001712597004737]"
237,"[0.7002694531221496, 0.7008461391208066, 0.6976977352340538, 0.6951562372750398, 0.6968816837412712]"
238,"[0.6971175887187236, 0.6947193721758719, 0.6979063930067354, 0.6995299245051851, 0.7014502334092765]"
239,"[0.6994293239808632, 0.7016719544795893, 0.7031314356978358, 0.6922858494686766, 0.6941947653140204]"
240,"[0.694286347923872, 0.7006723627579282, 0.6978149287405297, 0.6971339367312033, 0.7011179472521011]"
241,"[0.7017514796994775, 0.6945976681783685, 0.6962094731970991, 0.6958634843272556, 0.7016613306953056]"
242,"[0.7014174669719215, 0.6997062479803196, 0.6946195227644512, 0.698337850070043, 0.6966994283809881]"
243,"[0.6984180086113739, 0.6967209951996706, 0.6974321922614422, 0.7008254721652007, 0.6973436037270709]"
244,"[0.6963779558539301, 0.7021643294037957, 0.6965816711830279, 0.6936848887419377, 0.7022054268799505]"
245,"[0.6904826050682136, 0.7017788856011598, 0.6974220941129864, 0.6986524379842262, 0.701967906925979]"
246,"[0.6988482167880649, 0.7041850915598374, 0.6914530647212263, 0.7023155863986705, 0.6942080486616763]"
247,"[0.6962846949286139, 0.7002719987046367, 0.6934711031784908, 0.7014356615984162, 0.699484398055266]"
248,"[0.7022003454905574, 0.6991323517584433, 0.6991286379603437, 0.6991916523159996, 0.6914945063273199]"
249,"[0.6948010140905233, 0.6988828309247981, 0.7025683658048048, 0.7001442087438376, 0.6941635204861744]"
250,"[0.6996100713962945, 0.6998468653146612, 0.696069230669844, 0.6930400113065308, 0.7022104744717881]"
251,"[0.7040942683266832, 0.6988319727920478, 0.6991140751641878, 0.6975379128305021, 0.6907579811742943]"
252,"[0.6991919514953985, 0.6958231842285614, 0.6988010438288917, 0.6957437842161265, 0.7009608421874967]"
253,"[0.6978063245320748, 0.6990325306936835, 0.6968992413856174, 0.6982075549083946, 0.6991726629170616]"
254,"[0.6958607939431123, 0.7008717705693219, 0.7028268128523515, 0.6920720663214348, 0.6993567013476316]"
