,roc_auc
123,"[0.6750961026886947, 0.6807545766826575, 0.6775300258368359, 0.674828706039784, 0.6712457193210595, 0.6656873684353777, 0.6698342820889361, 0.669100892799379, 0.6755761663172896, 0.6807285445821123]"
124,"[0.6702189299143081, 0.6751108976064374, 0.6807274338329051, 0.6763229167159706, 0.6713889183268398, 0.6643212223325308, 0.6800934300175557, 0.6780833284629921, 0.6716010171915207, 0.6714948057760604]"
125,"[0.6742154742102043, 0.6686686748361167, 0.6829220493537854, 0.6734175510231452, 0.6775062788046361, 0.6762215122325339, 0.672777615716544, 0.6736137660355012, 0.675916072843082, 0.6652926778474542]"
126,"[0.6708274540806789, 0.6742251218234612, 0.6838804567811074, 0.6742582612247294, 0.6836942307256061, 0.6718353452551491, 0.665931646816849, 0.6818827286777746, 0.6666781819346151, 0.6667457715778954]"
127,"[0.6799946143521578, 0.677977794740273, 0.6624240109795856, 0.6717195234081409, 0.6809719358333625, 0.6753353702040733, 0.6728220369584836, 0.6758543142302416, 0.6715182485241847, 0.6721319362503975]"
128,"[0.6815252553243197, 0.6630107450785695, 0.6833801581839091, 0.6801110515756026, 0.6661882661050057, 0.6677508438367893, 0.6821464038604198, 0.6713866956600514, 0.6681796159473851, 0.6773717034400314]"
129,"[0.6669824316960871, 0.6672343960123975, 0.6835177231709653, 0.6773169245999325, 0.6712169984928477, 0.6765586438613836, 0.6598089488052664, 0.6771480143837577, 0.6689037608522804, 0.6910906371680229]"
130,"[0.6799865530156476, 0.6816928610846277, 0.6773555343283528, 0.6636187346093256, 0.6755023249747562, 0.6670647212731169, 0.6695378257496725, 0.6709149411968236, 0.6779502213079258, 0.6766839735293487]"
131,"[0.6653500358651353, 0.6821876903491306, 0.6674953810403355, 0.6716699945076465, 0.6777471769635726, 0.6738173444518969, 0.6765362709298874, 0.676337702862743, 0.6805608386513148, 0.6685449385428166]"
132,"[0.6827380022039985, 0.6828722036706255, 0.6729078808088585, 0.6708969607356131, 0.6762332152620428, 0.6793515915811904, 0.6711272769343408, 0.6641808019493464, 0.6769814104017822, 0.663178556533852]"
133,"[0.682439502161742, 0.6697413597114605, 0.6707926352178135, 0.6824256837002182, 0.6679456967729076, 0.6721773443683053, 0.6783241727280646, 0.6714325820927537, 0.6778213238473524, 0.6672776244093758]"
